Date,Open,High,Low,Close,Volume,Adj Close
2017-02-17,4.48,4.486,4.405,4.415,515200,4.415
2017-02-16,4.539,4.545,4.465,4.476,488600,4.476
2017-02-15,4.598,4.617,4.535,4.542,483300,4.542
2017-02-14,4.562,4.593,4.52,4.577,296000,4.577
2017-02-13,4.57,4.571,4.50,4.53,457000,4.53
2017-02-10,4.52,4.538,4.477,4.538,314800,4.538
2017-02-09,4.547,4.562,4.444,4.49,609900,4.49
2017-02-08,4.608,4.615,4.483,4.54,689200,4.54
2017-02-07,4.632,4.645,4.62,4.624,182200,4.624
2017-02-06,4.674,4.674,4.614,4.627,263000,4.627
2017-02-03,4.609,4.668,4.609,4.64,384000,4.64
2017-02-02,4.585,4.614,4.55,4.55,212000,4.55
2017-02-01,4.572,4.609,4.513,4.57,475400,4.57
2017-01-31,4.626,4.656,4.58,4.61,338600,4.61
2017-01-30,4.721,4.721,4.643,4.643,449700,4.643
2017-01-27,4.627,4.793,4.627,4.762,853600,4.762
2017-01-26,4.59,4.638,4.59,4.617,507600,4.617
2017-01-25,4.666,4.666,4.578,4.618,536700,4.618
2017-01-24,4.62,4.69,4.62,4.653,475000,4.653
2017-01-23,4.624,4.642,4.565,4.596,748100,4.596
2017-01-20,4.698,4.708,4.608,4.65,712200,4.65
2017-01-19,4.809,4.809,4.606,4.697,1357200,4.697
2017-01-18,4.86,4.86,4.79,4.831,471800,4.831
2017-01-17,4.895,4.904,4.81,4.832,802200,4.832
2017-01-16,4.97,4.984,4.895,4.918,437700,4.918
2017-01-13,4.944,4.996,4.906,4.955,404400,4.955
2017-01-12,4.949,4.974,4.912,4.932,405400,4.932
2017-01-11,4.985,4.985,4.908,4.915,361700,4.915
2017-01-10,4.897,4.97,4.867,4.938,481800,4.938
2017-01-09,4.913,4.937,4.86,4.872,337000,4.872
2017-01-06,4.876,4.895,4.825,4.89,326900,4.89
2017-01-05,4.944,4.955,4.852,4.87,720600,4.87
2017-01-04,4.931,4.979,4.919,4.978,740100,4.978
2017-01-03,4.918,5.06,4.90,4.94,1013900,4.94
2017-01-02,4.84,4.884,4.815,4.853,263100,4.853
2016-12-30,4.815,4.821,4.725,4.80,291100,4.80
2016-12-29,4.795,4.86,4.783,4.824,375500,4.824
2016-12-28,4.748,4.858,4.748,4.823,605500,4.823
2016-12-27,4.78,4.80,4.75,4.78,513900,4.78
2016-12-26,4.719,4.719,4.719,4.719,000,4.719
2016-12-23,4.754,4.76,4.63,4.719,575000,4.719
2016-12-22,4.829,4.845,4.68,4.717,1043100,4.717
2016-12-21,4.925,4.93,4.83,4.851,412400,4.851
2016-12-20,4.845,4.90,4.832,4.90,277800,4.90
2016-12-19,4.875,4.913,4.801,4.845,395900,4.845
2016-12-16,4.92,4.958,4.871,4.888,750700,4.888
2016-12-15,4.883,4.942,4.861,4.921,607900,4.921
2016-12-14,4.93,4.939,4.825,4.864,539700,4.864
2016-12-13,4.915,4.975,4.879,4.95,856400,4.95
2016-12-12,4.788,4.968,4.787,4.912,1517100,4.912
2016-12-09,4.569,4.664,4.566,4.66,587800,4.66
2016-12-08,4.515,4.576,4.47,4.57,401500,4.57
2016-12-07,4.455,4.493,4.422,4.46,425300,4.46
2016-12-06,4.52,4.53,4.435,4.468,452300,4.468
2016-12-05,4.526,4.566,4.512,4.535,318800,4.535
2016-12-02,4.462,4.53,4.451,4.50,390800,4.50
2016-12-01,4.45,4.565,4.421,4.504,941000,4.504
